ACST,Power
2017-01-10 07:07:00+08:00,0.0
2017-01-10 07:37:00+08:00,172.48227056000002
2017-01-10 07:47:00+08:00,258.72340432000004
2017-01-10 07:57:00+08:00,352.15129872
2017-01-10 08:07:00+08:00,474.32624176
2017-01-10 08:17:00+08:00,610.8747030400001
2017-01-10 08:27:00+08:00,740.23640672
2017-01-10 08:37:00+08:00,869.59810736
2017-01-10 08:47:00+08:00,1013.3333323200001
2017-01-10 08:57:00+08:00,1142.695036
2017-01-10 09:07:00+08:00,1272.05673664
2017-01-10 09:17:00+08:00,1387.044916
2017-01-10 09:27:00+08:00,1502.0330984
2017-01-10 09:37:00+08:00,1609.83451408
2017-01-10 09:47:00+08:00,1710.44917216
2017-01-10 09:57:00+08:00,1803.8770696
2017-01-10 10:07:00+08:00,1897.3049640000002
2017-01-10 10:17:00+08:00,1976.35933712
2017-01-10 10:27:00+08:00,2041.0401889600003
2017-01-10 10:37:00+08:00,2120.0945620800003
2017-01-10 10:47:00+08:00,2191.96217456
2017-01-10 10:57:00+08:00,2256.6430264
2017-01-10 11:07:00+08:00,2328.51063888
2017-01-10 11:17:00+08:00,2378.8179664
2017-01-10 11:27:00+08:00,2443.4988182399998
2017-01-10 11:37:00+08:00,2493.80614576
2017-01-10 11:47:00+08:00,2544.11347632
2017-01-10 11:57:00+08:00,2587.2340432
2017-01-10 12:07:00+08:00,2651.91489504
2017-01-10 12:17:00+08:00,2687.84870128
2017-01-10 12:27:00+08:00,2709.4089832
2017-01-10 12:37:00+08:00,2709.4089832
2017-01-10 12:47:00+08:00,2745.3427894399997
2017-01-10 12:57:00+08:00,2781.2765956800004
2017-01-10 13:07:00+08:00,2831.5839232
2017-01-10 13:17:00+08:00,2845.9574475199997
2017-01-10 13:27:00+08:00,2824.39716256
2017-01-10 13:37:00+08:00,2817.2104019199996
2017-01-10 13:47:00+08:00,2810.02364128
2017-01-10 13:57:00+08:00,2788.46335632
2017-01-10 14:07:00+08:00,2802.83688064
2017-01-10 14:17:00+08:00,2774.08983504
2017-01-10 14:27:00+08:00,2745.3427894399997
2017-01-10 14:37:00+08:00,2752.5295500800003
2017-01-10 14:47:00+08:00,2745.3427894399997
2017-01-10 14:57:00+08:00,2716.59574384
2017-01-10 15:07:00+08:00,2651.91489504
2017-01-10 15:17:00+08:00,2587.2340432
2017-01-10 15:27:00+08:00,2558.4869976
2017-01-10 15:37:00+08:00,2536.92671264
2017-01-10 15:47:00+08:00,2500.9929064
2017-01-10 15:57:00+08:00,2429.12529696
2017-01-10 16:07:00+08:00,2342.88416016
2017-01-10 16:17:00+08:00,2242.26950208
2017-01-10 16:27:00+08:00,2156.02836832
2017-01-10 16:37:00+08:00,2055.41371024
2017-01-10 16:47:00+08:00,1976.35933712
2017-01-10 16:57:00+08:00,1875.7446820799998
2017-01-10 17:07:00+08:00,1760.75649968
2017-01-10 17:17:00+08:00,1652.9550840000002
2017-01-10 17:27:00+08:00,1228.93616976
2017-01-10 17:37:00+08:00,804.9172585599999
2017-01-10 17:47:00+08:00,689.9290791999999
2017-01-10 17:57:00+08:00,265.91016496000003
2017-01-11 07:07:00+08:00,107.80141871999999
2017-01-11 07:17:00+08:00,0.0
2017-01-11 07:37:00+08:00,172.48227056000002
2017-01-11 07:47:00+08:00,244.34988303999998
2017-01-11 07:57:00+08:00,344.96453808
2017-01-11 08:07:00+08:00,467.13948112
2017-01-11 08:17:00+08:00,589.31442112
2017-01-11 08:27:00+08:00,718.67612176
2017-01-11 08:37:00+08:00,855.22458608
2017-01-11 08:47:00+08:00,977.39952608
2017-01-11 08:57:00+08:00,1106.76122976
2017-01-11 09:07:00+08:00,1221.7494091199999
2017-01-11 09:17:00+08:00,1351.11110976
2017-01-11 09:27:00+08:00,1473.2860528
2017-01-11 09:37:00+08:00,1581.08747152
2017-01-11 09:47:00+08:00,1688.8888902400001
2017-01-11 09:57:00+08:00,1782.3167846400002
2017-01-11 10:07:00+08:00,1875.7446820799998
2017-01-11 10:17:00+08:00,1954.7990551999999
2017-01-11 10:27:00+08:00,2026.66666768
2017-01-11 10:37:00+08:00,2091.34751648
2017-01-11 10:47:00+08:00,2184.7754139199997
2017-01-11 10:57:00+08:00,2271.01654768
2017-01-11 11:07:00+08:00,2328.51063888
2017-01-11 11:17:00+08:00,2393.19149072
2017-01-11 11:27:00+08:00,2465.05910016
2017-01-11 11:37:00+08:00,2500.9929064
2017-01-11 11:47:00+08:00,2536.92671264
2017-01-11 11:57:00+08:00,2594.4208038399997
2017-01-11 12:07:00+08:00,2615.9810888
2017-01-11 12:17:00+08:00,2630.35461008
2017-01-11 12:27:00+08:00,2666.2884163199997
2017-01-11 12:37:00+08:00,2716.59574384
2017-01-11 12:47:00+08:00,2752.5295500800003
2017-01-11 12:57:00+08:00,2802.83688064
2017-01-11 13:07:00+08:00,2831.5839232
2017-01-11 13:17:00+08:00,2853.1442081600003
2017-01-11 13:27:00+08:00,2874.70449312
2017-01-11 13:37:00+08:00,2860.3309688
2017-01-11 13:47:00+08:00,2824.39716256
2017-01-11 13:57:00+08:00,2795.65011696
2017-01-11 14:07:00+08:00,2795.65011696
2017-01-11 14:17:00+08:00,2766.9030744
2017-01-11 14:27:00+08:00,2766.9030744
2017-01-11 14:37:00+08:00,2774.08983504
2017-01-11 14:47:00+08:00,2752.5295500800003
2017-01-11 14:57:00+08:00,2738.1560288
2017-01-11 15:07:00+08:00,2716.59574384
2017-01-11 15:17:00+08:00,2637.54137072
2017-01-11 15:27:00+08:00,2558.4869976
2017-01-11 15:37:00+08:00,2493.80614576
2017-01-11 15:47:00+08:00,2486.61938512
2017-01-11 15:57:00+08:00,2400.37825136
2017-01-11 16:07:00+08:00,2321.32387824
2017-01-11 16:17:00+08:00,2249.45626576
2017-01-11 16:27:00+08:00,2170.40189264
2017-01-11 16:37:00+08:00,2069.7872345600003
2017-01-11 16:47:00+08:00,1983.5461008000002
2017-01-11 16:57:00+08:00,1882.9314427199997
2017-01-11 17:07:00+08:00,1767.9432633600002
2017-01-11 17:17:00+08:00,1645.7683203200002
2017-01-11 17:27:00+08:00,1257.6832153599998
2017-01-11 17:37:00+08:00,804.9172585599999
2017-01-11 17:47:00+08:00,704.3026004799999
2017-01-11 17:57:00+08:00,287.47044992
2017-01-12 07:07:00+08:00,323.40425616
2017-01-12 07:17:00+08:00,431.20567487999995
2017-01-12 07:27:00+08:00,467.13948112
2017-01-12 07:37:00+08:00,495.88652368
2017-01-12 07:47:00+08:00,352.15129872
2017-01-12 07:57:00+08:00,445.57919616000004
2017-01-12 08:07:00+08:00,589.31442112
2017-01-12 08:17:00+08:00,718.67612176
2017-01-12 08:27:00+08:00,833.6643011200001
2017-01-12 08:37:00+08:00,948.65248352
2017-01-12 08:47:00+08:00,1185.8156028800001
2017-01-12 08:57:00+08:00,1322.3640672
2017-01-12 09:07:00+08:00,1573.90070784
2017-01-12 09:17:00+08:00,1746.3829784
2017-01-12 09:27:00+08:00,1372.6713947199999
2017-01-12 09:37:00+08:00,1236.1229304
2017-01-12 09:47:00+08:00,2141.65484704
2017-01-12 09:57:00+08:00,1638.5815596800003
2017-01-12 10:07:00+08:00,2321.32387824
2017-01-12 10:17:00+08:00,2278.20330832
2017-01-12 10:27:00+08:00,2371.6312057600003
2017-01-12 10:37:00+08:00,1882.9314427199997
2017-01-12 10:47:00+08:00,2378.8179664
2017-01-12 10:57:00+08:00,2227.8959808
2017-01-12 11:07:00+08:00,2306.95035392
2017-01-12 11:17:00+08:00,2766.9030744
2017-01-12 11:27:00+08:00,2774.08983504
2017-01-12 11:37:00+08:00,2802.83688064
2017-01-12 11:47:00+08:00,2810.02364128
2017-01-12 11:57:00+08:00,2500.9929064
2017-01-12 12:07:00+08:00,2982.5059088
2017-01-12 12:17:00+08:00,2867.51772944
2017-01-12 12:27:00+08:00,3061.5602849600004
2017-01-12 12:37:00+08:00,3011.2529544
2017-01-12 12:47:00+08:00,2925.0118206399998
2017-01-12 12:57:00+08:00,3111.86761248
2017-01-12 13:07:00+08:00,3269.97635872
2017-01-12 13:17:00+08:00,2824.39716256
2017-01-12 13:27:00+08:00,1947.61229456
2017-01-12 13:37:00+08:00,2730.96926816
2017-01-12 13:47:00+08:00,3334.6572105600003
2017-01-12 13:57:00+08:00,2630.35461008
2017-01-12 14:07:00+08:00,3183.7352249600003
2017-01-12 14:17:00+08:00,3097.4940911999997
2017-01-12 14:27:00+08:00,2565.6737582399996
2017-01-12 14:37:00+08:00,2802.83688064
2017-01-12 14:47:00+08:00,3011.2529544
2017-01-12 14:57:00+08:00,2817.2104019199996
2017-01-12 15:07:00+08:00,2896.2647750399997
2017-01-12 15:17:00+08:00,1818.2505908800001
2017-01-12 15:27:00+08:00,2695.03546192
2017-01-12 15:37:00+08:00,2702.2222225600003
2017-01-12 15:47:00+08:00,2709.4089832
2017-01-12 15:57:00+08:00,2644.72813136
2017-01-12 16:07:00+08:00,1976.35933712
2017-01-12 16:17:00+08:00,1545.15366528
2017-01-12 16:27:00+08:00,2321.32387824
2017-01-12 16:37:00+08:00,2084.1607558399996
2017-01-12 16:47:00+08:00,1034.8936172800002
2017-01-12 16:57:00+08:00,653.99527296
2017-01-12 17:07:00+08:00,682.74231552
2017-01-12 17:17:00+08:00,1897.3049640000002
2017-01-12 17:27:00+08:00,1027.70685664
2017-01-12 17:37:00+08:00,661.1820336
2017-01-12 17:47:00+08:00,632.434988
2017-01-12 17:57:00+08:00,251.53664368
2017-01-13 07:07:00+08:00,122.17493999999999
2017-01-13 07:17:00+08:00,122.17493999999999
2017-01-13 07:27:00+08:00,143.73522496
2017-01-13 07:37:00+08:00,186.85579184
2017-01-13 07:47:00+08:00,258.72340432000004
2017-01-13 07:57:00+08:00,373.71158368
2017-01-13 08:07:00+08:00,503.07328736
2017-01-13 08:17:00+08:00,639.6217486400001
2017-01-13 08:27:00+08:00,776.1702129599998
2017-01-13 08:37:00+08:00,919.9054379199999
2017-01-13 08:47:00+08:00,1063.6406628800003
2017-01-13 08:57:00+08:00,1207.3758878400001
2017-01-13 09:07:00+08:00,1336.73758848
2017-01-13 09:17:00+08:00,1480.47281344
2017-01-13 09:27:00+08:00,1595.4609928
2017-01-13 09:37:00+08:00,1717.6359328
2017-01-13 09:47:00+08:00,1832.6241121599999
2017-01-13 09:57:00+08:00,1940.42553088
2017-01-13 10:07:00+08:00,2041.0401889600003
2017-01-13 10:17:00+08:00,2141.65484704
2017-01-13 10:27:00+08:00,2213.52245952
2017-01-13 10:37:00+08:00,2292.57683264
2017-01-13 10:47:00+08:00,2378.8179664
2017-01-13 10:57:00+08:00,2457.87233952
2017-01-13 11:07:00+08:00,2522.5531913600003
2017-01-13 11:17:00+08:00,2580.04728256
2017-01-13 11:27:00+08:00,2630.35461008
2017-01-13 11:37:00+08:00,2695.03546192
2017-01-13 11:47:00+08:00,2759.71631072
2017-01-13 11:57:00+08:00,2788.46335632
2017-01-13 12:07:00+08:00,2802.83688064
2017-01-13 12:17:00+08:00,2860.3309688
2017-01-13 12:27:00+08:00,2881.89125376
2017-01-13 12:37:00+08:00,2939.38534192
2017-01-13 12:47:00+08:00,3004.0661937600003
2017-01-13 12:57:00+08:00,3047.1867606399996
2017-01-13 13:07:00+08:00,3025.62647872
2017-01-13 13:17:00+08:00,2989.69267248
2017-01-13 13:27:00+08:00,2989.69267248
2017-01-13 13:37:00+08:00,3011.2529544
2017-01-13 13:47:00+08:00,2982.5059088
2017-01-13 13:57:00+08:00,3040.0
2017-01-13 14:07:00+08:00,3040.0
2017-01-13 14:17:00+08:00,3025.62647872
2017-01-13 14:27:00+08:00,2989.69267248
2017-01-13 14:37:00+08:00,2939.38534192
2017-01-13 14:47:00+08:00,2910.63829936
2017-01-13 14:57:00+08:00,2874.70449312
2017-01-13 15:07:00+08:00,2824.39716256
